battery_capacity_kwh,charge_speed_kw,discharge_speed_kw,charge_factor_in_0_1,discharge_factor_in_0_1,min_perc_soc,state_number,k
16.000000,3.6,3.6,0.876000,0.876000,0,1,50
16.000000,3.6,3.6,0.876000,0.876000,0,1,75
16.000000,3.6,3.6,0.876000,0.876000,0,1,100
16.000000,3.6,3.6,0.876000,0.876000,0,1,150
16.000000,3.6,3.6,0.876000,0.876000,0,1,200
16.000000,3.6,3.6,0.876000,0.876000,0,50,50
16.000000,3.6,3.6,0.876000,0.876000,0,50,75
16.000000,3.6,3.6,0.876000,0.876000,0,50,100
16.000000,3.6,3.6,0.876000,0.876000,0,50,150
16.000000,3.6,3.6,0.876000,0.876000,0,50,200
